Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Unnamed: 0,Title,Release Date,Team,Rating,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,weighted_rating,Backlog_Wishlist_Ratio,Release_Year
32,call of duty: black ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,191,call of duty: black ops,2010-11-09,"Activision , Treyarch",3.7,920.0,Shooter,"Call of Duty: Black Ops is the seventh main Call of Duty game and the sequel to Call of Duty: World at War. The game differs from most previous installments, which would involve a usual three-country campaign, while Call of Duty: Black Ops features two playable countries (Russia and the USA) but only has an American campaign. Several new features are also introduced, such as dive-to-prone and the available use of a flashlight on certain weapons. Furthermore, the campaign's playable characters now speak while being controlled by the player.","res go ki da japanee amerika sikimde değil ama hikaye güzeldi never played it in its prime, but i can only imagine how awesome the mp must have been in full lobbies. campaign is great, zombies is good but overrated the best cod. banging campaign. unreal multiplayer. the height of zombies. theyve never nailed it better than this. one of the most iconic cod games and thats for a good reason the amount of effort poured into making this game is immeasurable. campaign was eh. zombies, however, slaps",14000.0,44.0,611.0,318.0,3.6849562451246403,1.921383647798742,2010
35,call of duty: black ops ii,Ps3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,207,call of duty: black ops ii,2012-11-12,"Treyarch , Activision",3.8,903.0,Shooter,Black Ops II is the first game in the Call of Duty franchise to feature future warfare technology and the first to present branching storylines driven by player choice as well as selecting weapons before starting story mode missions.,"all of these pretentious mfs actin like this is the best cod. no it aint o melhor cod de todos com certeza, zerei em todas plataformas not a scratch on blops1 but its fine. the last good cod. nuff said. helllll yeah best cod and thats not just nostalgia talking. campaign, multiplayer  league play, and zombies were all great",13000.0,57.0,626.0,286.0,3.7517051377614963,2.1888111888111887,2012
36,call of duty: black ops ii,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,207,call of duty: black ops ii,2012-11-12,"Treyarch , Activision",3.8,903.0,Shooter,Black Ops II is the first game in the Call of Duty franchise to feature future warfare technology and the first to present branching storylines driven by player choice as well as selecting weapons before starting story mode missions.,"all of these pretentious mfs actin like this is the best cod. no it aint o melhor cod de todos com certeza, zerei em todas plataformas not a scratch on blops1 but its fine. the last good cod. nuff said. helllll yeah best cod and thats not just nostalgia talking. campaign, multiplayer  league play, and zombies were all great",13000.0,57.0,626.0,286.0,3.7517051377614963,2.1888111888111887,2012
37,call of duty: modern warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,943,call of duty: modern warfare 2,2009-11-10,"Infinity Ward , Activision",3.8,1000.0,Shooter,"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision for the Xbox 360 and PlayStation 3 video game consoles and the Microsoft Windows operating system. Officially announced on February 11, 2009, the game was released worldwide on November 10, 2009. It is the sixth installment of the Call of Duty series and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline, with Call of Duty: Modern Warfare 3 set to end the storyline.","anyone who actually enjoys this game needs shock therapy. oh man, nostalgia why shephard why the best cod. people can try to tell you otherwise and there may be some objectively better made games since but the era surrounding this game when it came out was unmatched. missed the multiplayer wave for this, so campaign is meh. has 0 nostalgia value for me. one of the worse cods. certified hood classic",14000.0,34.0,666.0,276.0,3.754944834605988,2.4130434782608696,2009
38,call of duty: modern warfare 3,Ps3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,293,call of duty: modern warfare 3,2011-11-08,"Sledgehammer Games , Activision",3.2,587.0,"Adventure , Shooter , Tactical","Call of Duty: Modern Warfare 3 is a first-person shooter video game, developed by Infinity Ward and Sledgehammer Games (Treyarch for the Wii version), with Raven Software having assisted in development and published by Activision.","super overhated again xbox 360 was really fun juego 55. digan lo que digan, considero este un digno y muy épico final de la trilogía, supo aprovechar los cambios de la historia y de finalizarla de forma muy emocionante y frenética, 141 por siempre d 2nd best cod. survival lowkey better than zombies only played few sessions online with friends the cod of my childhood",10000.0,27.0,492.0,195.0,3.3959827984900857,2.523076923076923,2011
39,grand theft auto iii,Ps2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,1000,grand theft auto iii,2001-10-22,"DMA Design , Rockstar Games",3.3,711.0,"Adventure , Racing , Shooter , Simulator","Featuring a fully 3-D living city, a combination of narrative driven and non-linear gameplay and a completely open environment, Grand Theft Auto III represents a huge leap forward in interactive entertainment. For the first time, players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city, in which anything can happen and probably will.
             

              With a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, a huge array of street ready weapons and some of the seediest characters in video game history, Grand Theft Auto 3 is a sprawling epic which will show you that sometimes, crime can pay and sometimes it can pay you back. Available now for PlayStation2, Xbox, PC and Macintosh.","shooting in this game fucking sucks literalmente o primeiro jogo que joguei na vida por volta de 2013 no ps2 do meu pai e cara rejogando ele em 2021... realmente me desapontou. provavelmente por eu ser uma criança na época e minha memória de ter bons momentos fez o jogo parecer melhor na minha mente mas realmente é um jogo bem meh gta em um geral pra mim não é nada de mais, nem memso o sa, realmente é só um jogo bem ok deveria ter a opção de plataforma magalhães the game that revolutionized an entire industry. a very unique and immersive game but very primitive compared to other gtas, but that is understandable. i know what youre thinking, another bent cop. well, its a bent world. while this game still has its charms, i think the mission structure is pretty bad. its a fun sandbox to mess around in which i have a lot of nostalgia for, but actually doing the missions and playing the game feel extremely dated.",7800.0,88.0,1300.0,373.0,3.436430623025288,3.485254691689008,2001
40,super smash bros. brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,410,super smash bros. brawl,2008-01-31,"Nintendo , Sora",3.8,1300.0,"Fighting , Platform","Super Smash Bros. Brawl is the third installment in the Super Smash Bros. series and the follow-up to Super Smash Bros. Melee. This edition introduces super attacks referred to as final smashes: activated by destroying smash balls, these feature powerful and often unstoppable attacks, regularly introducing a major transformation of the character. This edition also introduces a brand new adventure mode in The Subspace Emissary which is a side-scrolling adventure in the style of a platformer. It retains all basic mechanics of the Super Smash Bros. series, such as a damage meter, stocks, and Smash-style attacks.","classic before i cared about mechanics of a fighting game i thought it couldnt get better than this. this game did the crossover first. if ultimate had this campaign it might be 5 stars. ill say this first and foremost brawls mechanics are far from perfect. everyone knows that. they were made to prey upon competitive players. making mechanics to stop people from playing a game the way they want is asinine and its why i didnt give this game more than four stars coolest game ever when it came out as a kid. design choices limited its legacy but no other smash game has come close to having the content this game did. its funny how fast this game went from being underrated, because so many preferred melee, to overrated, because so many preferred this to smash 4 or smash u. get your realistic human beings out of my stupid cartoony fighting game. and stop tripping.",19000.0,51.0,511.0,250.0,3.762686271958911,2.044,2008
41,call of duty: black ops,Ps3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,191,call of duty: black ops,2010-11-09,"Activision , Treyarch",3.7,920.0,Shooter,"Call of Duty: Black Ops is the seventh main Call of Duty game and the sequel to Call of Duty: World at War. The game differs from most previous installments, which would involve a usual three-country campaign, while Call of Duty: Black Ops features two playable countries (Russia and the USA) but only has an American campaign. Several new features are also introduced, such as dive-to-prone and the available use of a flashlight on certain weapons. Furthermore, the campaign's playable characters now speak while being controlled by the player.","res go ki da japanee amerika sikimde değil ama hikaye güzeldi never played it in its prime, but i can only imagine how awesome the mp must have been in full lobbies. campaign is great, zombies is good but overrated the best cod. banging campaign. unreal multiplayer. the height of zombies. theyve never nailed it better than this. one of the most iconic cod games and thats for a good reason the amount of effort poured into making this game is immeasurable. campaign was eh. zombies, however, slaps",14000.0,44.0,611.0,318.0,3.6849562451246403,1.921383647798742,2010
43,mario kart 7,3Ds,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,519,mario kart 7,2011-12-02,Nintendo,3.5,593.0,Racing,"The seventh installment of the fan-favorite Mario Kart franchise brings Mushroom Kingdom racing fun into glorious 3D. For the first time, drivers explore new competitive kart possibilities, such as soaring through the skies or plunging to the depths of the sea. New courses, strategic new abilities and customizable karts bring the racing excitement to new heights.","literally best game ever i love mario kart played this all the time on my 3ds it had a fucking bee i racked up 80 hours in this one despite it having no bikes, a really shitty roster, and bland tracks. i was also a middle schooler. i forgot about this one mario kart 7 is a game that i have such fond memories of. playing the courses with friends at camp using download play really was an experience you couldnt get anywhere else. looking past my nostalgia, the tracks are gorgeous. wuhu loop, maka wuhu, daisy cruiser, and neo bowser city are some of my personal favorites. there isnt really a reason to go back and play it now due to the existance of mario kart 8 deluxe, but i still love this game kind of a bland safe mario kart game. i didnt really play this much with friends as when it came out not a lot of other people had 3dses, and i didnt play this much online. ive been meaning to get people around to play this with as i do remember it having a good selection of retro tracks, but nobody seems to have their 3dses around with them anymore these days.",10000.0,59.0,336.0,141.0,3.566073369432395,2.382978723404255,2011
44,halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,176,halo 3,2007-09-25,"Bungie , Microsoft Game Studios",4.2,1600.0,Shooter,"Halo 3 is a shooter game where players primarily experience gameplay from a first-person perspective. Much of the gameplay takes place on foot, but also includes segments focused on vehicular combat. The balance of weapons and objects in the game was adjusted to better adhere to the ""Golden Triangle of Halo"": these are weapons, grenades, and melee attacks, which are available to a player in most situations. Players may dual-wield some weapons, forgoing the use of grenades and melee attacks in favor of the combined firepower of two weapons. Many weapons available in previous installments of the series return with minor cosmetic and power alterations. Unlike previous installments, the player's secondary weapon is visible on their player model, holstered or slung across the player's back.
              
              Halo 3 introduces ""support weapons"", which are cumbersome two-handed weapons that slow the player, but offer greatly increased firepower in return. In addition to weapons, the game contains a new class of gear called equipment; these items have various effects, ranging from defensive screens to shield regeneration and flares. Only one piece of equipment can be carried at a time. The game's vehicular component has been expanded with new drivable and AI-only vehicles.","just reminiscing about the game its fine, but honestly my main memory of this game is watching people i know rage so hard at it despite it coming out the same year as team fortress 2, which was at the time was both welcoming and encouraging. it felt like a misery generator and these people would not detach themselves from it. putting it another way, these are fun big budget games and the treatment of them as a serious competitive format feels more like a sunk cost fallacy than an honest assessment of what these games are capable of. halo 3 is how you conclude a trilogy. similar to halo 2, it keeps what works, improves upon that foundation, and built upon it and addresses certain criticisms. switching between halo 2 anniversary to halo 3 is a tad jarring at first, but halo 3 is still a beautiful game with amazing art direction. in terms of atmosphere, i think its the most wellrealised. beginning with the lush jungles and progressing from there. one of the best shooters ever made funniest shit ive ever seen. my childhood, part 3.",12000.0,101.0,1500.0,528.0,4.080962967175101,2.840909090909091,2007
